아비장: Africa/Abidjan
아크라: Africa/Accra
아디스아바바: Africa/Addis_Ababa
알제: Africa/Algiers
아스마라: Africa/Asmara
바마코: Africa/Bamako
방기: Africa/Bangui
반줄: Africa/Banjul
비사우: Africa/Bissau
블랜타이어: Africa/Blantyre
브라자빌: Africa/Brazzaville
부줌부라: Africa/Bujumbura
카이로: Africa/Cairo
카사블랑카: Africa/Casablanca
세우타: Africa/Ceuta
코나크리: Africa/Conakry
다카르: Africa/Dakar
다르에스살람: Africa/Dar_es_Salaam
지부티: Africa/Djibouti
두알라: Africa/Douala
엘아이운: Africa/El_Aaiun
프리타운: Africa/Freetown
가보로네: Africa/Gaborone
하라레: Africa/Harare
요하네스버그: Africa/Johannesburg
주바: Africa/Juba
캄팔라: Africa/Kampala
카르툼: Africa/Khartoum
키갈리: Africa/Kigali
킨샤사: Africa/Kinshasa
라고스: Africa/Lagos
리브르빌: Africa/Libreville
로메: Africa/Lome
루안다: Africa/Luanda
루붐바시: Africa/Lubumbashi
루사카: Africa/Lusaka
말라보: Africa/Malabo
마푸투: Africa/Maputo
마세루: Africa/Maseru
음바바네: Africa/Mbabane
모가디슈: Africa/Mogadishu
몬로비아: Africa/Monrovia
나이로비: Africa/Nairobi
은자메나: Africa/Ndjamena
니아메: Africa/Niamey
누악쇼트: Africa/Nouakchott
와가두구: Africa/Ouagadougou
포르토노보: Africa/Porto-Novo
상투메: Africa/Sao_Tome
팀북투: Africa/Timbuktu
트리폴리: Africa/Tripoli
튀니스: Africa/Tunis
빈트후크: Africa/Windhoek
아닥: America/Adak
앵커리지: America/Anchorage
앵귈라: America/Anguilla
앤티가: America/Antigua
아라과이나: America/Araguaina
아르헨티나/부에노스아이레스: America/Argentina/Buenos_Aires
아르헨티나/카타마르카: America/Argentina/Catamarca
아르헨티나/코모도로리바다비아: America/Argentina/ComodRivadavia
아르헨티나/코르도바: America/Argentina/Cordoba
아르헨티나/후후이: America/Argentina/Jujuy
아르헨티나/라리오하: America/Argentina/La_Rioja
아르헨티나/멘도사: America/Argentina/Mendoza
아르헨티나/리오가예고스: America/Argentina/Rio_Gallegos
아르헨티나/살타: America/Argentina/Salta
아르헨티나/산후안: America/Argentina/San_Juan
아르헨티나/산루이스: America/Argentina/San_Luis
아르헨티나/투쿠만: America/Argentina/Tucuman
아르헨티나/우수아이아: America/Argentina/Ushuaia
아루바: America/Aruba
아순시온: America/Asuncion
아티코칸: America/Atikokan
아카: America/Atka
바이아: America/Bahia
바이아반데라스: America/Bahia_Banderas
바베이도스: America/Barbados
벨렝: America/Belem
벨리즈: America/Belize
블랑-사블롱: America/Blanc-Sablon
보아비스타: America/Boa_Vista
보고타: America/Bogota
보이시: America/Boise
부에노스아이레스: America/Buenos_Aires
케임브리지베이: America/Cambridge_Bay
캄포그란데: America/Campo_Grande
칸쿤: America/Cancun
카라카스: America/Caracas
카타마르카: America/Catamarca
카옌: America/Cayenne
케이맨: America/Cayman
시카고: America/Chicago
치와와: America/Chihuahua
시우다드후아레스: America/Ciudad_Juarez
코럴하버: America/Coral_Harbour
코르도바: America/Cordoba
코스타리카: America/Costa_Rica
코이하이케: America/Coyhaique
크레스톤: America/Creston
쿠이아바: America/Cuiaba
퀴라소: America/Curacao
단마르크샤븐: America/Danmarkshavn
도슨: America/Dawson
도슨크릭: America/Dawson_Creek
덴버: America/Denver
디트로이트: America/Detroit
도미니카: America/Dominica
에드먼턴: America/Edmonton
에이루네페: America/Eirunepe
엘살바도르: America/El_Salvador
엔세나다: America/Ensenada
포트넬슨: America/Fort_Nelson
포트웨인: America/Fort_Wayne 
포르탈레자: America/Fortaleza
글레이스베이: America/Glace_Bay
곳합: America/Godthab
구스베이: America/Goose_Bay
그랜드터크: America/Grand_Turk
그레나다: America/Grenada
과들루프: America/Guadeloupe
과테말라: America/Guatemala
과야킬: America/Guayaquil
가이아나: America/Guyana
핼리팩스: America/Halifax
아바나: America/Havana
에르모시요: America/Hermosillo
인디애나/인디애나폴리스: America/Indiana/Indianapolis
